"time","Die.1","Die.2","Die.3","Die.4","Die.5","Die.6","Die.7","Die.8","Die.9","Die.10","Sum"
"19825","1","5","5","1","1","5","5","4","5"," 1","33"
"19825","5","4","5","1","2","4","4","2","3"," 6","36"
"19825","4","4","2","6","4","1","5","4","6"," 5","41"
"19825","1","5","6","6","4","6","6","3","2"," 2","41"
"19825","4","3","3","5","1","4","4","4","1"," 3","32"
"19825","2","1","2","6","4","6","1","2","6"," 5","35"
"19825","4","1","6","4","6","2","5","3","2"," 1","34"
"19825","5","2","3","3","5","1","6","1","4"," 3","33"
"19825","3","3","3","4","5","5","3","4","1"," 2","33"
"2024-04-12 16:52:24","1","2","3","4","5","6","7","8","9","10","11"
